Your Query Input was START YEAR=(1948) END YEAR=(2022)  SPECIES=(Bluefin tuna; Maguro + Ahi (misidentified bigeye tuna) - Thunnus thynnus) ISLAND AREAS=(American Samoa+Guam+CNMI+Hawaii) DATASETS=(Commercial Dealer Data (Vendor Purchases from Fishers) +Boat-based Creel Survey (includes noncommercial CNMI/Guam/Am. Samoa) +Shore-based Creel Survey (includes noncommercial CNMI/Guam/Am. Samoa) +Commercial Fisher-Reported (Hawaii and American Samoa only) +WPacFIN's Best Estimated Total Commercial Landings )
"Island ","Data Program ","Year","Scientific Name ","Pacific Islands Region (PIR) Name ","Estimated Lbs. Landed ","Estimated  Commercial Lbs. ","Estimated Commercial Value ","Avg. Reported Price ($/Lb) "
"American Samoa","BST","1998","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,666","0","0","--"
"American Samoa","BST","2002","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","5,712","0","0","--"
"American Samoa","BST","2003","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","19,754","0","0","--"
"American Samoa","BST","2004","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,094","0","0","--"
"American Samoa","BST","2006","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","7,616","0","0","--"
"American Samoa","BST","2007","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,760","0","0","--"
"American Samoa","BST","2010","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","6,664","0","0","--"
"American Samoa","BST","2011","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,760","0","0","--"
"American Samoa","BST","2012","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","14,994","0","0","--"
"American Samoa","BST","2013","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,998","0","0","--"
"American Samoa","BST","2014","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","6,664","0","0","--"
"American Samoa","BST","2015","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","12,852","0","0","--"
"American Samoa","BST","2017","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,332","0","0","--"
"American Samoa","BST","2018","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,428","0","0","--"
"American Samoa","FRS","2002","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","5,712","0","0","--"
"American Samoa","FRS","2003","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","19,754","0","0","--"
"American Samoa","FRS","2004","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,094","0","0","--"
"American Samoa","FRS","2005","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","7,378","0","0","--"
"American Samoa","FRS","2006","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","7,616","0","0","--"
"American Samoa","FRS","2007","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,760","0","0","--"
"American Samoa","FRS","2010","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","6,664","0","0","--"
"American Samoa","FRS","2011","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,760","0","0","--"
"American Samoa","FRS","2012","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","14,994","0","0","--"
"American Samoa","FRS","2013","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,998","0","0","--"
"American Samoa","FRS","2014","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","6,664","0","0","--"
"American Samoa","FRS","2015","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","12,852","0","0","--"
"American Samoa","FRS","2017","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,332","0","0","--"
"American Samoa","FRS","2018","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,428","0","0","--"
"Hawaii","BST","1948","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","39,836","39,751","15,758",".4"
"Hawaii","BST","1949","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","71,305","71,305","24,394",".34"
"Hawaii","BST","1950","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","43,328","43,196","11,351",".26"
"Hawaii","BST","1951","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","35,329","34,882","9,509",".27"
"Hawaii","BST","1952","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","24,359","24,359","8,545",".35"
"Hawaii","BST","1953","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","61,638","38,066","10,156",".27"
"Hawaii","BST","1954","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,262","1,262","189",".15"
"Hawaii","BST","1955","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,578","3,578","773",".22"
"Hawaii","BST","1975","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","5,876","5,836","5,057",".87"
"Hawaii","BST","1976","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,814","3,660","4,090","1.12"
"Hawaii","BST","1977","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","15,549","15,058","22,359","1.48"
"Hawaii","BST","1978","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","27,489","26,832","57,327","2.14"
"Hawaii","BST","1979","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","16,778","16,686","29,868","1.79"
"Hawaii","BST","1980","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","16,368","16,333","24,712","1.51"
"Hawaii","BST","1981","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","11,279","11,279","28,732","2.55"
"Hawaii","BST","1982","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","5,562","5,562","10,359","1.86"
"Hawaii","BST","1983","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","18,342","17,813","24,913","1.4"
"Hawaii","BST","1992","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","5,908","5,884","42,802","7.27"
"Hawaii","BST","1993","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","18,068","17,648","180,962","10.25"
"Hawaii","BST","1994","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","35,157","34,964","346,068","9.9"
"Hawaii","BST","1995","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","16,246","16,075","212,451","13.22"
"Hawaii","BST","1996","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","21,708","21,708","329,026","15.16"
"Hawaii","BST","1997","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","8,844","8,844","129,573","14.65"
"Hawaii","BST","1998","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","12,677","12,677","96,897","7.64"
"Hawaii","BST","1999","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","8,937","8,937","73,005","8.17"
"Hawaii","BST","2000","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,415","3,415","40,356","11.82"
"Hawaii","BST","2002","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,513","454","3,732","8.22"
"Hawaii","BST","2008","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","573","0","0","--"
"Hawaii","BST","2009","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","1,963","0","0","--"
"Hawaii","BST","2010","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","848","0","0","--"
"Hawaii","BST","2020","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,610","2,317","12,145","5.24"
"Hawaii","BST","2021","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,392","4,392","23,104","5.26"
"Hawaii","COM","2000","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","0","6,086","62,969","10.35"
"Hawaii","COM","2020","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","0","2,317","12,145","5.24"
"Hawaii","COM","2021","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","0","4,392","23,104","5.26"
"Hawaii","FRS","1948","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","43,133","43,048","16,945","--"
"Hawaii","FRS","1949","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","63,980","63,980","22,307","--"
"Hawaii","FRS","1950","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","42,362","42,230","11,088","--"
"Hawaii","FRS","1951","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","34,948","34,501","9,463","--"
"Hawaii","FRS","1952","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","24,359","24,359","8,545","--"
"Hawaii","FRS","1953","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","60,561","36,989","9,866","--"
"Hawaii","FRS","1955","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,090","3,090","542","--"
"Hawaii","FRS","1975","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","5,708","5,668","4,847","--"
"Hawaii","FRS","1976","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","3,814","3,660","4,090","--"
"Hawaii","FRS","1977","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","15,549","15,058","22,359","--"
"Hawaii","FRS","1978","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","27,198","26,541","56,861","--"
"Hawaii","FRS","1979","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","16,778","16,686","29,868","--"
"Hawaii","FRS","1980","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","15,711","15,676","22,407","--"
"Hawaii","FRS","1981","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","8,605","8,605","18,853","--"
"Hawaii","FRS","1982","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","4,158","4,158","7,508","--"
"Hawaii","FRS","1983","Thunnus thynnus","Bluefin tuna; Maguro, Ahi (misidentified bigeye tuna)","18,170","17,647","24,798","--"
